client_id,freq_180d,monetary_180d,avg_ticket,last_order,first_order,num_products,recency_days,tenure_days,days_between,churn_label,is_big_spender,is_inactive90,avg_monthly_spent,orders_per_month
21e5c13d-1c9a-4d00-9164-b72302d5edef,8.0,493.73,61.71625,2024-09-18 21:51:10,2024-05-04 20:59:14,8.0,13.0,137.0,19.0,0,1,0,82.28833333333334,1.3333333333333333
36e48bdd-db11-4abe-9526-cfc90e68924d,20.0,1258.09,62.9045,2024-09-17 13:48:39,2024-04-25 03:06:52,20.0,14.0,145.0,7.105263157894737,0,1,0,209.68166666666664,3.3333333333333335
145c22df-3579-412e-bc12-b4fce70abaf3,8.0,571.62,71.4525,2024-09-14 07:17:31,2024-04-20 22:18:18,8.0,17.0,146.0,20.428571428571427,0,1,0,95.27,1.3333333333333333
90c4a925-e51f-4dac-9193-2d9aec97a472,3.0,175.43,58.47666666666667,2024-09-29 19:53:32,2024-09-10 01:53:00,3.0,2.0,19.0,9.5,0,0,0,29.238333333333333,0.5
853f711a-4c36-40b4-b5d0-6207152cd793,0.0,0.0,0.0,,,0.0,270.0,0.0,180.0,1,0,1,0.0,0.0
22cdc8c6-e370-4fb5-aa37-91f1d7a6fba6,12.0,573.27,47.7725,2024-09-05 06:03:57,2024-04-22 20:55:51,12.0,26.0,135.0,11.727272727272727,0,1,0,95.545,2.0
b4f357f5-3b86-4aae-927f-0ee4da25baf9,13.0,599.15,46.08846153846154,2024-09-09 20:34:38,2024-04-11 04:47:57,13.0,22.0,151.0,12.083333333333334,0,1,0,99.85833333333333,2.1666666666666665
f05a7bb5-a3c2-4ee7-a5a1-2aab5f885183,2.0,111.17,55.585,2024-08-30 10:03:48,2024-07-17 21:09:18,2.0,32.0,43.0,43.0,0,0,0,18.528333333333332,0.3333333333333333
e66b3d22-5a63-43b4-86e3-df61f8e3c415,7.0,304.17,43.45285714285715,2024-09-13 18:49:20,2024-05-08 00:42:34,7.0,18.0,128.0,21.0,0,1,0,50.695,1.1666666666666667
f2f46b96-3a9e-4b8e-8efc-d63c724256d9,9.0,467.63,51.958888888888886,2024-09-27 18:22:25,2024-04-21 18:30:39,9.0,4.0,158.0,19.5,0,1,0,77.93833333333333,1.5
