"product_id","product_name","category","brand","last_updated","created_at"
P00001,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-04-06 21:21:31.000
P00002,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-05-02 21:21:31.000
P00003,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2024-10-02 21:21:31.000
P00004,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-04-21 21:21:31.000
P00005,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-04-22 21:21:31.000
P00006,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-01-12 21:21:31.000
P00007,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-03-28 21:21:31.000
P00008,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-05-04 21:21:31.000
P00009,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-05-31 21:21:31.000
P00010,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-04-07 21:21:31.000
P00011,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-01-17 21:21:31.000
P00012,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-01-27 21:21:31.000
P00013,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2024-10-08 21:21:31.000
P00014,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-03-28 21:21:31.000
P00015,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2024-12-26 21:21:31.000
P00016,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-04-08 21:21:31.000
P00017,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-05-18 21:21:31.000
P00018,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2024-11-07 21:21:31.000
P00019,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2024-09-08 21:21:31.000
P00020,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-07-15 21:21:31.000
P00021,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-04-07 21:21:31.000
P00022,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-07-27 21:21:31.000
P00023,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-06-20 21:21:31.000
P00024,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-08-07 21:21:31.000
P00025,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-01-03 21:21:31.000
P00026,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-05-03 21:21:31.000
P00027,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-05-10 21:21:31.000
P00028,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-03-18 21:21:31.000
P00029,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-05-29 21:21:31.000
P00030,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-03-08 21:21:31.000
P00031,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-07-02 21:21:31.000
P00032,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2024-10-09 21:21:31.000
P00033,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-05-23 21:21:31.000
P00034,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-08-03 21:21:31.000
P00035,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-02-19 21:21:31.000
P00036,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-06-25 21:21:31.000
P00037,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-03-23 21:21:31.000
P00038,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-06-04 21:21:31.000
P00039,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-07-09 21:21:31.000
P00040,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-02-23 21:21:31.000
P00041,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2024-10-20 21:21:31.000
P00042,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2024-09-23 21:21:31.000
P00043,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-04-26 21:21:31.000
P00044,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-04-16 21:21:31.000
P00045,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-07-23 21:21:31.000
P00046,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-01-18 21:21:31.000
P00047,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-04-04 21:21:31.000
P00048,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-05-20 21:21:31.000
P00049,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2024-12-29 21:21:31.000
P00050,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-06-03 21:21:31.000
P00051,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2024-12-20 21:21:31.000
P00052,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2024-12-11 21:21:31.000
P00053,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-04-25 21:21:31.000
P00054,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-01-07 21:21:31.000
P00055,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-07-21 21:21:31.000
P00056,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-01-14 21:21:31.000
P00057,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2024-12-06 21:21:31.000
P00058,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2024-12-24 21:21:31.000
P00059,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-04-23 21:21:31.000
P00060,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-02-03 21:21:31.000
P00061,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-04-08 21:21:31.000
P00062,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-07-21 21:21:31.000
P00063,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2024-09-27 21:21:31.000
P00064,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-05-13 21:21:31.000
P00065,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2024-11-23 21:21:31.000
P00066,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-05-30 21:21:31.000
P00067,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-06-25 21:21:31.000
P00068,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2024-09-14 21:21:31.000
P00069,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-03-08 21:21:31.000
P00070,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-06-01 21:21:31.000
P00071,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-03-22 21:21:31.000
P00072,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2024-09-10 21:21:31.000
P00073,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2024-12-08 21:21:31.000
P00074,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2024-11-21 21:21:31.000
P00075,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2024-12-31 21:21:31.000
P00076,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-01-04 21:21:31.000
P00077,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-01-29 21:21:31.000
P00078,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-08-06 21:21:31.000
P00079,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-05-18 21:21:31.000
P00080,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-07-18 21:21:31.000
P00081,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-01-12 21:21:31.000
P00082,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2024-11-20 21:21:31.000
P00083,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2024-09-17 21:21:31.000
P00084,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-03-26 21:21:31.000
P00085,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-07-02 21:21:31.000
P00086,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2024-10-18 21:21:31.000
P00087,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-03-24 21:21:31.000
P00088,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2024-10-07 21:21:31.000
P00089,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2024-09-11 21:21:31.000
P00090,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-04-23 21:21:31.000
P00091,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2024-11-13 21:21:31.000
P00092,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2024-10-11 21:21:31.000
P00093,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2024-12-02 21:21:31.000
P00094,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2024-11-03 21:21:31.000
P00095,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2024-10-05 21:21:31.000
P00096,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-03-29 21:21:31.000
P00097,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2024-11-21 21:21:31.000
P00098,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-07-21 21:21:31.000
P00099,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2024-09-24 21:21:31.000
P00100,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-02-28 21:21:31.000
P00101,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-03-16 21:21:31.000
P00102,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-04-23 21:21:31.000
P00103,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-01-06 21:21:31.000
P00104,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-03-09 21:21:31.000
P00105,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-06-03 21:21:31.000
P00106,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-04-16 21:21:31.000
P00107,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2025-03-29 21:21:31.000
P00108,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-06-17 21:21:31.000
P00109,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-06-17 21:21:31.000
P00110,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2024-10-31 21:21:31.000
P00111,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2024-11-07 21:21:31.000
P00112,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-06-15 21:21:31.000
P00113,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2024-09-26 21:21:31.000
P00114,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2024-10-24 21:21:31.000
P00115,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-04-13 21:21:31.000
P00116,Red Bull Can,Beverages,Red Bull,2025-09-06 21:21:31.000,2025-07-30 21:21:31.000
P00117,Coca-Cola 500ml,Beverages,Coca-Cola,2025-09-06 21:21:31.000,2025-07-01 21:21:31.000
P00118,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2024-12-20 21:21:31.000
P00119,Lipton Ice Tea,Beverages,Unilever,2025-09-06 21:21:31.000,2025-05-16 21:21:31.000
P00120,Pepsi Max,Beverages,PepsiCo,2025-09-06 21:21:31.000,2025-05-01 21:21:31.000
P00121,Evian Water,Beverages,Danone,2025-09-06 21:21:31.000,2024-11-09 21:21:31.000
